content,score,label,clean_content,label_encoded
Mudah dalam pembayaran/transaksi. Tranfer bang mudah top up gampang.intinya mudah di gunakan trimakasih shopeepay.tapi sangat di sayangkan akun spayleter saya sampai saat inih masih di bekukan. Dan kalo bisa shopeey datanya di turunin.biar gak berat.,5,positif,mudah dalam pembayarantransaksi tranfer bang mudah top up gampangintinya mudah di gunakan trimakasih shopeepaytapi sangat di sayangkan akun spayleter saya sampai saat inih masih di bekukan dan kalo bisa shopeey datanya di turuninbiar gak berat,1
"aplikasi nya mudah di gunakan untung pemula dan sangat membantu jika pembayaran qris, untuk pelajar seperti saya ini sangat amat membantu dan juga tidak ada biaya admin walaupun ada sangat minim sekali.",5,positif,aplikasi nya mudah di gunakan untung pemula dan sangat membantu jika pembayaran qris untuk pelajar seperti saya ini sangat amat membantu dan juga tidak ada biaya admin walaupun ada sangat minim sekali,1
"Saya punya banyak pay later, ada aku laku, kredivo, indodana, gopay, Tapi semua tidak selicik sepenipu spay later. Semua aplikasi pay later saya yang lain, pasti memunculkan semua rincian pembayaran diawal disaat sebelum cekout atau sebelum menyetujui pengajuan pay later, apapun itu jenisnya, baik itu biaya layanan, admin, bunga dan lainnya, sehingga saya bisa mlihat total nya. Tapi Spay later memunculkan biaya cicilan saat sudah dalam tagihan. SUNGGGUH CARA YANG SANGAT LICIK merugikan konsumen.",1,negatif,saya punya banyak pay later ada aku laku kredivo indodana gopay tapi semua tidak selicik sepenipu spay later semua aplikasi pay later saya yang lain pasti memunculkan semua rincian pembayaran diawal disaat sebelum cekout atau sebelum menyetujui pengajuan pay later apapun itu jenisnya baik itu biaya layanan admin bunga dan lainnya sehingga saya bisa mlihat total nya tapi spay later memunculkan biaya cicilan saat sudah dalam tagihan sunggguh cara yang sangat licik merugikan konsumen,0
"Saya kecéwa dengan shoppee pay ini masa saya transfer urang ke gopay tapi gak masuk-masuk, padahal transaksi udah selesai tapi tetep belum masuk, saldo udah hangus, udah komplen tapi belum di selesaikan, buat temen-temen jangan mau pakai apk shoppe pay ini",1,negatif,saya kecwa dengan shoppee pay ini masa saya transfer urang ke gopay tapi gak masukmasuk padahal transaksi udah selesai tapi tetep belum masuk saldo udah hangus udah komplen tapi belum di selesaikan buat tementemen jangan mau pakai apk shoppe pay ini,0
"Oke sih, paylatter nya kebantu banget. Cuma sering banget mau payment pake QRIS di toko pake paylatter gangguan terus ""Terjadi kesalahan"" padahal sinyal bagus, udah tutup paksa aplikasi, pembayaran juga selama ini ga ada masalah. Padahal tokonya udah termasuk yg kerja sama. Tolong dong di benerin lagi",3,negatif,oke sih paylatter nya kebantu banget cuma sering banget mau payment pake qris di toko pake paylatter gangguan terus terjadi kesalahan padahal sinyal bagus udah tutup paksa aplikasi pembayaran juga selama ini ga ada masalah padahal tokonya udah termasuk yg kerja sama tolong dong di benerin lagi,0
"Awalnya saya suka makai nih Spaylater. Udah satu tahun lebih saya makai tidak pernah nunggak. Selalu bayar tepat waktu bahkan jauh dari tenggar waktu. Tapi sekali telat, cuma telat 2 hari saja sampai dikirim Ancaman. Padahal saya bayar juga kok itu yg hanya 400k tuh. Kalau nagih telat tuh, setidaknya minimal udah berminggu sampai berbulan okelah saya terima. Ini telat 2 hari, parah sekali kolektor pihak shoopepay nya. Saran saya tolong lah, jangan terlalu cepat ambil tindakan seperti itu.",1,negatif,awalnya saya suka makai nih spaylater udah satu tahun lebih saya makai tidak pernah nunggak selalu bayar tepat waktu bahkan jauh dari tenggar waktu tapi sekali telat cuma telat  hari saja sampai dikirim ancaman padahal saya bayar juga kok itu yg hanya k tuh kalau nagih telat tuh setidaknya minimal udah berminggu sampai berbulan okelah saya terima ini telat  hari parah sekali kolektor pihak shoopepay nya saran saya tolong lah jangan terlalu cepat ambil tindakan seperti itu,0
Maaf saya kan sudah lunasi semua cicilan saya. Setelah lunas baru tanggal 2 bulan ini saya credit lagi dengan Tenor sebulan tapi kenapa tanggal 25 bulan ini sudah ditagih? Padahalkan harusnya tanggal 2 bulan depan karna merasa rugi disaya kalau tanggal 25 sudah ditagih otomatis saya di tanggal 2 akan bayar tagihan lebih karna dihitung ada denda padahal saya stor sesuai tgl saat saya kredit 🙂‍↕️saya sangat kecewa padahal saya kredit bukan baru sekali selalu lancar kenapa malah dikecewakan begini,2,negatif,maaf saya kan sudah lunasi semua cicilan saya setelah lunas baru tanggal  bulan ini saya credit lagi dengan tenor sebulan tapi kenapa tanggal  bulan ini sudah ditagih padahalkan harusnya tanggal  bulan depan karna merasa rugi disaya kalau tanggal  sudah ditagih otomatis saya di tanggal  akan bayar tagihan lebih karna dihitung ada denda padahal saya stor sesuai tgl saat saya kredit saya sangat kecewa padahal saya kredit bukan baru sekali selalu lancar kenapa malah dikecewakan begini,0
"Bad experience , pengajuan pertama spaylater di acc dengan limit imut imut dan pengembaliannya sebelum jatuh tempo , skore kredit gk naik pas pengajuan ke 2 spaylater extra baru klik pengajuan sudah di tolak. Spinjam pun sama baru kirim data langsung di tolak . Apa kurang meyakinkan modal pedagang ngajuin spinjam atau spaylater ?, status di ojk bagus gak ada cacat",1,negatif,bad experience  pengajuan pertama spaylater di acc dengan limit imut imut dan pengembaliannya sebelum jatuh tempo  skore kredit gk naik pas pengajuan ke  spaylater extra baru klik pengajuan sudah di tolak spinjam pun sama baru kirim data langsung di tolak  apa kurang meyakinkan modal pedagang ngajuin spinjam atau spaylater  status di ojk bagus gak ada cacat,0
"Ini gimana sih aku mau TF malah gabisa bisa,katanya KTP sudah terdaftar di shopeepay lain,sedangkan baru sekali ini saya daftarin shopeepay,,,gmn nih jadinya uang di saldo shopeepay 700k gabisa di tf gegara ini.tolng dong diperbaiki",1,negatif,ini gimana sih aku mau tf malah gabisa bisakatanya ktp sudah terdaftar di shopeepay lainsedangkan baru sekali ini saya daftarin shopeepaygmn nih jadinya uang di saldo shopeepay k gabisa di tf gegara initolng dong diperbaiki,0
"Pengembalian uang transaksi yang tidak sukses lama sekali, infonya sampai 14 hari padahal kita lagi butuh banget dana tersebut. Ini bagaimana sih. Transaksi gak sukses tapi saldo kepotong mana lama banget balikinnya",1,negatif,pengembalian uang transaksi yang tidak sukses lama sekali infonya sampai  hari padahal kita lagi butuh banget dana tersebut ini bagaimana sih transaksi gak sukses tapi saldo kepotong mana lama banget balikinnya,0
